Card,Guess,Reward,Correction,Reaction
CAT,dog,0,1,[headshake]
DOG,dog,2,0,NA
CAT-ELE,elephant,1,2,Elephant and a cat!
CAT,cat and dog,1,3,No. Only cat.
CAT-ELE,cat or elephant,2,3,Cat AND an elephant.
DOG,dog or elephant,1,2,Dog!
CAT-ELE,dog,0,1,No!
DOG-ELE,dog and elephant,2,1,Yes!
CAT-DOG,cat and dog,2,1,[nod]
DOG-ELE,cat,0,1,No!
DOG-ELE,dog or elephant,2,0,NA
ELE,elephant,2,1,Yeah!
ELE,cat or elephant,1,2,Elephant!
DOG-ELE,dog,1,2,dog and an elephant!
DOG,cat,0,2,A dog!
CAT,cat and elephant,1,3,Only a cat!
